epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,375.8,0.58414,0.40594,0.85058,0.96397,0.96874,0.99312,0.73956,0.91166,0.50915,0.89559,0.0011189,0.0011189,0.0011189
91,380.212,0.62578,0.43255,0.86597,0.97089,0.97762,0.99283,0.70156,0.96672,0.56711,0.93402,0.001109,0.001109,0.001109
92,383.623,0.56292,0.39791,0.85483,0.95896,0.95862,0.99141,0.74574,0.86821,0.5617,0.89776,0.0010991,0.0010991,0.0010991
93,386.848,0.55405,0.38954,0.84467,0.97222,0.98103,0.9936,0.74267,0.92771,0.50118,0.89944,0.0010892,0.0010892,0.0010892
94,391.002,0.55671,0.39075,0.8609,0.97355,0.97586,0.99316,0.74236,0.93309,0.49286,0.88642,0.0010793,0.0010793,0.0010793
95,396.815,0.56167,0.38899,0.84699,0.95957,0.98201,0.99302,0.77108,0.81708,0.48864,0.88724,0.0010694,0.0010694,0.0010694
96,400.229,0.55656,0.38999,0.85103,0.97126,0.99071,0.993,0.74311,0.91658,0.5082,0.91263,0.0010595,0.0010595,0.0010595
97,403.479,0.55309,0.38343,0.84622,0.96211,0.99138,0.99296,0.75129,0.89839,0.52626,0.90342,0.0010496,0.0010496,0.0010496
98,406.719,0.56606,0.38695,0.84484,0.96923,0.97743,0.9927,0.76171,0.84295,0.5164,0.87965,0.0010397,0.0010397,0.0010397
99,411.585,0.5831,0.39804,0.8558,0.96953,0.99483,0.99292,0.75527,0.90555,0.50459,0.90114,0.0010298,0.0010298,0.0010298
100,416.173,0.55513,0.38446,0.84983,0.90903,0.9431,0.96435,0.71146,1.01728,0.65034,1.08237,0.0010199,0.0010199,0.0010199
101,419.692,0.57867,0.40139,0.84969,0.9087,0.92931,0.95358,0.66741,1.09309,0.63517,1.06133,0.00101,0.00101,0.00101
102,423.07,0.54439,0.38149,0.8456,0.95203,0.95802,0.98828,0.73308,0.96047,0.55131,0.93691,0.0010001,0.0010001,0.0010001
103,426.776,0.58584,0.40049,0.85479,0.98775,0.97353,0.99334,0.74389,0.94797,0.52277,0.92262,0.0009902,0.0009902,0.0009902
104,432.646,0.59336,0.40796,0.84998,0.94651,0.9569,0.98857,0.77173,0.8312,0.52261,0.90709,0.0009803,0.0009803,0.0009803
105,436.379,0.57313,0.39686,0.84349,0.94033,0.9569,0.98158,0.73459,0.96731,0.55894,0.90846,0.0009704,0.0009704,0.0009704
106,439.811,0.56715,0.39118,0.85856,0.9569,0.93103,0.9864,0.77424,0.83356,0.53669,0.89053,0.0009605,0.0009605,0.0009605
107,443.234,0.57685,0.3921,0.84309,0.96015,0.9431,0.98818,0.72867,0.95982,0.54815,0.8902,0.0009506,0.0009506,0.0009506
108,448.203,0.54005,0.37654,0.83979,0.95767,0.97527,0.98751,0.77581,0.80171,0.51492,0.87915,0.0009407,0.0009407,0.0009407
109,452.842,0.54234,0.37786,0.8429,0.93414,0.97824,0.9856,0.77134,0.79592,0.53093,0.89416,0.0009308,0.0009308,0.0009308
110,456.187,0.54723,0.37749,0.84738,0.94089,0.96048,0.98302,0.7738,0.80702,0.52181,0.89956,0.0009209,0.0009209,0.0009209
111,459.566,0.53317,0.37599,0.84621,0.95547,0.96724,0.98822,0.77951,0.78666,0.52173,0.88727,0.000911,0.000911,0.000911
112,463.523,0.5132,0.35939,0.83755,0.99125,0.97666,0.98916,0.7626,0.84593,0.49157,0.89467,0.0009011,0.0009011,0.0009011
113,468.792,0.52417,0.36439,0.83913,0.99303,0.98239,0.99277,0.77436,0.82235,0.47263,0.89466,0.0008912,0.0008912,0.0008912
114,473.011,0.53553,0.37562,0.84754,0.99135,0.98788,0.99443,0.76789,0.86629,0.47981,0.89265,0.0008813,0.0008813,0.0008813
115,476.289,0.50904,0.36137,0.83677,0.98287,0.98936,0.99363,0.77572,0.84209,0.49463,0.89411,0.0008714,0.0008714,0.0008714
116,479.52,0.51188,0.35927,0.84101,0.98808,0.9931,0.99458,0.7379,0.9291,0.48508,0.88427,0.0008615,0.0008615,0.0008615
