epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,2165.13,1.66006,1.24315,1.14226,0.66148,0.65426,0.63451,0.28083,1.56919,1.30122,1.12922,0.0008912,0.0008912,0.0008912
114,2184.16,1.66516,1.24536,1.14473,0.69366,0.6986,0.66933,0.27451,1.57313,1.31627,1.12593,0.0008813,0.0008813,0.0008813
115,2203.22,1.61943,1.24143,1.1243,0.58726,0.68617,0.64217,0.2589,1.61497,1.36765,1.15882,0.0008714,0.0008714,0.0008714
116,2222.42,1.65046,1.23824,1.14039,0.63842,0.68558,0.6588,0.27214,1.62408,1.34815,1.16213,0.0008615,0.0008615,0.0008615
117,2242.66,1.64719,1.21908,1.1312,0.68784,0.65637,0.67523,0.2704,1.63938,1.36727,1.16449,0.0008516,0.0008516,0.0008516
118,2262.02,1.63866,1.25094,1.1467,0.67292,0.6117,0.61481,0.26007,1.59115,1.33753,1.14017,0.0008417,0.0008417,0.0008417
119,2280.58,1.65005,1.23624,1.13842,0.69223,0.60106,0.64085,0.25751,1.69257,1.40545,1.21823,0.0008318,0.0008318,0.0008318
120,2299.47,1.65122,1.24115,1.14245,0.68924,0.60168,0.6202,0.25107,1.63856,1.38819,1.15509,0.0008219,0.0008219,0.0008219
121,2318.43,1.62222,1.22379,1.12705,0.70958,0.66489,0.65113,0.283,1.59377,1.31227,1.13445,0.000812,0.000812,0.000812
122,2337.38,1.64362,1.2094,1.1306,0.69292,0.65957,0.64413,0.26918,1.61308,1.33293,1.15479,0.0008021,0.0008021,0.0008021
123,2356.4,1.61424,1.19653,1.12613,0.66104,0.68617,0.65062,0.26434,1.63915,1.36941,1.18375,0.0007922,0.0007922,0.0007922
124,2376,1.6277,1.20649,1.12167,0.64536,0.65957,0.62453,0.25323,1.71681,1.42644,1.22407,0.0007823,0.0007823,0.0007823
125,2395.81,1.60942,1.19635,1.11771,0.70158,0.6383,0.6242,0.24858,1.67941,1.38,1.18653,0.0007724,0.0007724,0.0007724
126,2416.17,1.63286,1.21891,1.13239,0.68528,0.59574,0.62389,0.25925,1.65059,1.34334,1.15508,0.0007625,0.0007625,0.0007625
127,2435.21,1.61964,1.21703,1.12052,0.63237,0.6117,0.61378,0.25027,1.68609,1.41395,1.19631,0.0007526,0.0007526,0.0007526
128,2453.82,1.60307,1.21277,1.11124,0.66812,0.62766,0.60367,0.26218,1.59586,1.36092,1.14672,0.0007427,0.0007427,0.0007427
129,2473.04,1.61135,1.21166,1.11503,0.67092,0.61814,0.63404,0.251,1.64368,1.3839,1.16976,0.0007328,0.0007328,0.0007328
130,2491.95,1.6134,1.20877,1.1132,0.64345,0.62234,0.62293,0.25704,1.62968,1.38117,1.18094,0.0007229,0.0007229,0.0007229
131,2510.77,1.57762,1.16973,1.10576,0.66796,0.6117,0.62187,0.25419,1.63712,1.33066,1.16324,0.000713,0.000713,0.000713
132,2530.74,1.5926,1.16341,1.10446,0.68538,0.61702,0.61907,0.27124,1.6262,1.31009,1.17595,0.0007031,0.0007031,0.0007031
133,2551.09,1.63975,1.17766,1.13023,0.64321,0.62329,0.60158,0.26211,1.64066,1.35558,1.18219,0.0006932,0.0006932,0.0006932
134,2570.55,1.61056,1.18738,1.11825,0.70273,0.63298,0.60742,0.27,1.59118,1.28376,1.14736,0.0006833,0.0006833,0.0006833
135,2589.91,1.57982,1.15551,1.10821,0.74058,0.65426,0.68189,0.29027,1.60599,1.3133,1.14339,0.0006734,0.0006734,0.0006734
136,2609.08,1.57501,1.16465,1.10352,0.70055,0.63298,0.61285,0.25275,1.66388,1.38292,1.18226,0.0006635,0.0006635,0.0006635
137,2628.33,1.60951,1.17616,1.11792,0.64227,0.62234,0.62305,0.26307,1.64605,1.35487,1.16938,0.0006536,0.0006536,0.0006536
138,2646.94,1.59454,1.16452,1.10555,0.69417,0.60368,0.60386,0.25589,1.63857,1.39671,1.17683,0.0006437,0.0006437,0.0006437
139,2665.74,1.58358,1.16222,1.11282,0.63073,0.60871,0.62957,0.25149,1.63303,1.36318,1.17173,0.0006338,0.0006338,0.0006338
140,2685.2,1.60215,1.16375,1.11505,0.65943,0.65957,0.63751,0.28197,1.5808,1.29152,1.13035,0.0006239,0.0006239,0.0006239
141,2705.3,1.57836,1.15178,1.0963,0.68413,0.62766,0.63335,0.27099,1.61846,1.35686,1.17048,0.000614,0.000614,0.000614
142,2723.67,1.56652,1.14699,1.10141,0.59911,0.67021,0.6221,0.27401,1.57796,1.29691,1.14743,0.0006041,0.0006041,0.0006041
143,2742.81,1.57317,1.14553,1.09811,0.72889,0.62766,0.65495,0.28212,1.63411,1.30672,1.16944,0.0005942,0.0005942,0.0005942
144,2762.08,1.5546,1.12496,1.08743,0.71626,0.6311,0.66403,0.27338,1.66608,1.2979,1.19362,0.0005843,0.0005843,0.0005843
145,2780.88,1.5508,1.13621,1.09023,0.71156,0.60638,0.63681,0.27273,1.63882,1.31909,1.156,0.0005744,0.0005744,0.0005744
146,2799.75,1.57383,1.12631,1.09228,0.69786,0.60106,0.62833,0.26563,1.66961,1.35036,1.18848,0.0005645,0.0005645,0.0005645
147,2819.47,1.55715,1.12628,1.095,0.69986,0.62234,0.62123,0.24899,1.71997,1.38514,1.20942,0.0005546,0.0005546,0.0005546
148,2839.35,1.56657,1.13745,1.09773,0.71603,0.6383,0.64261,0.26995,1.66073,1.28903,1.15992,0.0005447,0.0005447,0.0005447
149,2859.9,1.54868,1.132,1.09148,0.72173,0.68085,0.63136,0.26433,1.61717,1.32362,1.15441,0.0005348,0.0005348,0.0005348
150,2879.25,1.54284,1.10614,1.07848,0.69358,0.6381,0.61513,0.2675,1.67998,1.33891,1.18668,0.0005249,0.0005249,0.0005249
151,2898.6,1.56474,1.09531,1.08465,0.68044,0.62294,0.63141,0.25629,1.70321,1.35457,1.21003,0.000515,0.000515,0.000515
152,2917.81,1.53922,1.13411,1.09131,0.70142,0.66489,0.65308,0.28159,1.58713,1.26516,1.13824,0.0005051,0.0005051,0.0005051
153,2937.03,1.5429,1.10391,1.09582,0.70604,0.65957,0.64608,0.2646,1.76122,1.32328,1.22176,0.0004952,0.0004952,0.0004952
154,2956.34,1.50685,1.09696,1.07576,0.72148,0.64762,0.6744,0.28525,1.69575,1.28828,1.18216,0.0004853,0.0004853,0.0004853
155,2976.13,1.55956,1.10591,1.08747,0.71182,0.64378,0.66114,0.28386,1.61189,1.2841,1.15636,0.0004754,0.0004754,0.0004754
156,2995.55,1.54458,1.09109,1.0821,0.72497,0.64497,0.66318,0.28727,1.61534,1.28573,1.14976,0.0004655,0.0004655,0.0004655
157,3014.43,1.53423,1.09058,1.08669,0.65316,0.6511,0.65043,0.26832,1.70448,1.3094,1.19074,0.0004556,0.0004556,0.0004556
158,3033.09,1.52718,1.08385,1.0747,0.7014,0.63723,0.64891,0.25874,1.74853,1.36266,1.23435,0.0004457,0.0004457,0.0004457
159,3052.06,1.5384,1.10272,1.08522,0.71514,0.6383,0.65839,0.25934,1.68457,1.34498,1.19116,0.0004358,0.0004358,0.0004358
160,3071,1.54328,1.09134,1.0902,0.71984,0.60638,0.65088,0.27581,1.66491,1.27915,1.16825,0.0004259,0.0004259,0.0004259
161,3089.63,1.53795,1.0815,1.08593,0.72666,0.64362,0.65924,0.26591,1.70547,1.31753,1.1731,0.000416,0.000416,0.000416
162,3109.15,1.52067,1.07034,1.07229,0.72754,0.6383,0.65518,0.27109,1.69914,1.29926,1.19555,0.0004061,0.0004061,0.0004061
163,3129.33,1.54403,1.08888,1.07919,0.71703,0.62766,0.6379,0.26529,1.71951,1.31153,1.20662,0.0003962,0.0003962,0.0003962
164,3149.08,1.51515,1.07831,1.07872,0.72766,0.62766,0.6409,0.2643,1.70599,1.28955,1.19855,0.0003863,0.0003863,0.0003863
165,3168.18,1.51857,1.06087,1.07933,0.69184,0.67553,0.67603,0.27434,1.74103,1.33066,1.23049,0.0003764,0.0003764,0.0003764
166,3187.33,1.52143,1.04021,1.07272,0.72755,0.6392,0.65949,0.26238,1.77207,1.31112,1.23956,0.0003665,0.0003665,0.0003665
